Ciclo,N_Ref,Docente,Asignatura,T,P,L,G,Total_Horas,Departamento
1,1,Marcelino Torres Villanueva,Introducción a la Programación,2,0,2,2,6,Ing. de Sistemas
1,2,Alberto Mendoza de los Santos,Introducción a la Ing. de Sistemas,1,2,0,0,3,Ing. de Sistemas
1,3,Paul Cotrina Castellanos,Introducción a la Programación,0,0,2,2,4,Ing. de Sistemas
1,4,Bertha Urtecho Zavaleta,Desarrollo Personal,2,2,0,0,4,CC. Psicologicas
1,5,Jose Luis Ponte Bejarano,Desarrollo del Pens. Logico Matemat.,1,4,0,0,5,Matemáticas
1,6,Jorge Luis Rios Gonzales,Lectura Critica y Redac. Textos Acad.,2,2,0,0,4,Lengua Nacional y Literatura
1,7,Segundo Guibar Obeso,Introduccion al Analisis Matemático,2,4,0,0,6,Matematicas
1,8,Miguel Ipanaque Zapata,Estadistica General,0,2,0,0,2,Estadistica
1,9,Martha Cardoso,Estadistica General,2,2,0,0,4,Estadistica
3,1,Zoraida Vidal Melgarejo,Programación Orientada a Objetos II,2,0,4,3,14,Ing. de Sistemas
3,2,Everson David Agreda Gamboa,Sistémica,2,1,2,3,9,Ing. de Sistemas
3,3,Juan Carlos obando Roldán,Ingeniería Gráfica (e),1,1,2,3,8,Ing. de Sistemas
3,4,Marcos Ferrer Reyna,Matemática Aplicada,1,2,2,1,5,Matemáticas
3,5,Teresita Rojas Garcia,Estadistica Aplicada,1,2,2,3,9,Estadistica
3,6,Juan Carrascal Cabanillas,Administración General,2,2,0,0,4,Administración
3,7,Vilma Mendez Gil,Fisica Electrónica,1,2,2,1,5,Fisica
3,8,Sheyla Laura Escobedo Rodriguez,Psicologia Organizacional (e),2,2,0,0,4,CC. Psicologicas
5,1,Luis Boy Chavil,Ingenieria de Datos I,2,1,3,3,12,Ing. de Sistemas
5,2,Juan Carlos Obando Roldan,Sistemas de Información,2,2,2,3,10,Ing. de Sistemas
5,3,Everson David Agreda Gamboa,Transformación digital,2,0,2,2,6,Ing. de Sistemas
5,4,Robert Jerry Sánchez Ticona,Tecnologías web,1,1,2,3,11,Ing. de Sistemas
5,5,Cesar Arellano Salazar,Arquitectura de computadoras,1,2,2,3,9,Ing. de Sistemas
5,6,Camilo Suárez Rebaza,Teleinformática(e),1,2,2,2,7,Ing. de Sistemas
5,7,Marcos Baca Lopez,Investigación de Operaciones,1,2,2,1,5,Ingeniería Industrial
5,8,Ana Cuadra Mitzugaray,Contabilidad Gerencial,1,2,2,1,5,Contabilidad y Finanzas
7,1,Juan Pedro Santos Fernández,Ingeniería de Software I,2,1,3,1,6,Ing. de Sistemas
7,2,César Arellano Salazar,Redes y Comunicaciones I,1,1,3,3,11,Ing. de Sistemas
7,3,Robert Jerry Sánchez Ticona,Ingenieria de Software I,0,0,2,3,6,Ing. de Sistemas
7,4,Everson David Agreda Gamboa,Negocios Electrónicos (e),2,0,0,0,2,Ing. de Sistemas
7,5,Alberto Mendoza de los Santos,Gestión de Servicios de TI,1,2,2,2,7,Ing. de Sistemas
7,6,Paul Cotrina Catellanos,Metodologia de la Investigación Científica,2,2,0,0,4,Ing. de Sistemas
7,7,Ricardo Mendoza Rivera,Administración de Base de Datos,1,1,3,2,8,Ing. de Sistemas
7,8,Oscar Romel Alcántara Moreno,Planeamiento Estratégico de TI,1,2,2,4,11,Ing. de Sistemas
7,9,Paul Cotrina Castellanos,Negocios Electrónicos (e),0,0,2,2,4,Ing. de Sistemas
7,10,Jhoe Gonzalez Vasquez,Cadena de Suministros (e),0,0,2,2,4,Ing. Industrial
9,1,Juan Pedro Santos Fernández,Tesis I,2,2,2,1,6,Ing. de Sistemas
9,2,Ricardo Mendoza Rivera,Tesis I,2,2,2,1,6,Ing. de Sistemas
9,3,Ricardo Mendoza Rivera,Analítica de Negocios,1,2,2,1,5,Ing. de Sistemas
9,4,Alberto Mendoza de los Santos,Auditoria Informática,1,2,2,2,7,Ing. de Sistemas
9,5,José Gómez Avila,Gestión de Proyectos de TI,1,2,2,3,9,Ing. de Sistemas
9,6,Oscar Romel Alcántara Moreno,Emprendimiento Tecnológica,2,0,2,2,6,Ing. de Sistemas
9,7,Marcelino Torres Villanueva,Ingenieria Web,1,1,3,3,11,Ing. de Sistemas
9,8,José Gómez Avila,Computación en la Nube,1,1,3,3,11,Ing. de Sistemas
9,9,Camilo Suarez Rebaza,Hackeo Ético (e),2,0,2,2,6,Ing. de Sistemas
